name,x,y,z
row1_target_149,-1.344,1.15,-0.147
row1_target_150,-1.574,1.024,-0.159
row1_target_148,-1.826,1.015,-0.118
row1_target_147,-2.041,0.992,-0.119
row1_target_145,-2.192,1.032,-0.122
row1_target_146,-2.813,1.217,-0.105
row1_target_144,-3.312,1.185,-0.141
row1_target_143,-3.666,1.072,-0.149
row1_target_142,-3.924,1.023,-0.127
row1_target_141,-4.062,0.983,-0.171
row1_target_140,-4.717,1.059,-0.191
row1_target_139,-4.79,1.077,-0.187
row1_target_136,-5.335,1.007,-0.187
row1_target_137,-5.832,1.00,-0.195
row1_target_138,-5.981,0.977,-0.131
row1_target_133,-6.517,1.063,-0.194
row1_target_134,-6.903,1.118,-0.143
row1_target_135,-6.967,1.111,-0.195
row1_target_130,-7.52,1.198,-0.124
row1_target_131,-7.606,1.094,-0.133
row1_target_132,-7.871,1.222,-0.166
row1_target_129,-8.511,1.081,-0.19
row1_target_128,-8.711,0.986,-0.122
row1_target_127,-8.99,1.187,-0.162
row1_target_124,-9.466,1.205,-0.194
row1_target_126,-9.6,1.169,-0.137
row1_target_125,-9.797,1.16,-0.139
row1_target_123,-10.093,1.072,-0.165
row1_target_121,-10.481,1.025,-0.162
row1_target_122,-10.65,1.167,-0.101
row1_target_120,-11.165,0.98,-0.12
row1_target_118,-11.26,0.988,-0.107
row1_target_119,-11.692,1.188,-0.159
row1_target_116,-12.489,1.146,-0.146
row1_target_117,-12.702,1.027,-0.198
row1_target_115,-12.785,1.000,-0.173
row1_target_113,-13.119,0.99,-0.104
row1_target_112,-13.259,1.038,-0.154
row1_target_114,-13.698,1.099,-0.103
row1_target_111,-14.343,1.17,-0.194
row1_target_109,-14.626,1.144,-0.12
row1_target_110,-14.977,1.017,-0.133
row1_target_106,-15.034,1.073,-0.1
row1_target_107,-15.343,1.018,-0.143
row1_target_108,-15.88,0.972,-0.133
row1_target_105,-16.201,1.099,-0.132
row1_target_103,-16.486,1.07,-0.16
row1_target_104,-16.624,1.000,-0.186
row1_target_101,-17.067,1.198,-0.15
row1_target_102,-17.127,1.193,-0.193
row1_target_100,-17.256,1.154,-0.145
row1_target_099,-18.1,0.987,-0.185
row1_target_097,-18.734,1.065,-0.115
row1_target_098,-18.926,1.073,-0.159
row1_target_095,-19.321,1.181,-0.165
row1_target_094,-19.489,1.168,-0.105
row1_target_096,-19.618,1.144,-0.182
row1_target_092,-20.184,0.974,-0.169
row1_target_091,-20.452,1.15,-0.112
row1_target_093,-20.998,1.131,-0.117
row1_target_090,-21.219,1.153,-0.17
row1_target_088,-21.441,1.000,-0.189
row1_target_089,-21.908,1.075,-0.18
row1_target_085,-22.262,1.219,-0.185
row1_target_086,-22.517,1.11,-0.119
row1_target_087,-22.789,1.024,-0.101
row1_target_084,-23.106,1.12,-0.155
row1_target_083,-23.175,1.073,-0.174
row1_target_082,-23.33,0.982,-0.116
row1_target_080,-24.165,1.0,-0.151
row1_target_081,-24.235,1.000,-0.141
row1_target_079,-24.336,1.076,-0.148
row1_target_078,-25.239,0.977,-0.124
row1_target_077,-25.73,1.205,-0.105
row1_target_076,-25.849,1.054,-0.159
row1_target_075,-26.215,1.183,-0.168
row1_target_074,-26.572,1.127,-0.144
row1_target_073,-26.888,1.124,-0.199
row1_target_070,-27.023,1.014,-0.15
row1_target_071,-27.153,1.028,-0.109
row1_target_072,-27.725,1.002,-0.1
row1_target_067,-28.128,1.148,-0.107
row1_target_069,-28.222,1.028,-0.186
row1_target_068,-28.348,1.043,-0.194
row1_target_064,-29.163,1.086,-0.128
row1_target_065,-29.54,1.04,-0.169
row1_target_066,-29.696,1.027,-0.199
row1_target_061,-30.131,1.203,-0.15
row1_target_063,-30.397,1.084,-0.194
row1_target_062,-30.554,1.0,-0.186
row1_target_060,-31.431,1.095,-0.123
row1_target_059,-31.717,1.236,-0.142
row1_target_058,-31.857,1.122,-0.193
row1_target_056,-32.583,1.107,-0.19
row1_target_055,-32.744,1.171,-0.182
row1_target_057,-32.949,1.201,-0.171
row1_target_053,-33.174,1.131,-0.198
row1_target_052,-33.423,1.152,-0.153
row1_target_054,-33.793,1.091,-0.154
row1_target_049,-34.245,1.161,-0.184
row1_target_051,-34.739,1.177,-0.17
row1_target_050,-34.879,1.177,-0.131
row1_target_046,-35.222,1.17,-0.185
row1_target_047,-35.697,1.146,-0.103
row1_target_048,-35.796,1.112,-0.149
row1_target_045,-36.365,1.203,-0.145
row1_target_044,-36.776,1.234,-0.102
row1_target_043,-36.873,1.195,-0.149
row1_target_042,-37.378,1.232,-0.134
row1_target_040,-37.46,1.197,-0.158
row1_target_041,-37.814,1.086,-0.191
row1_target_037,-38.63,1.115,-0.126
row1_target_039,-38.853,1.156,-0.116
row1_target_038,-38.905,1.212,-0.129
row1_target_034,-39.211,1.062,-0.199
row1_target_036,-39.318,1.033,-0.101
row1_target_035,-39.588,1.094,-0.13
row1_target_031,-40.367,1.042,-0.166
row1_target_033,-40.584,1.081,-0.102
row1_target_032,-40.75,1.124,-0.168
row1_target_030,-41.041,1.158,-0.155
row1_target_029,-41.18,1.237,-0.105
row1_target_028,-41.412,0.997,-0.179
row1_target_025,-42.06,1.031,-0.108
row1_target_027,-42.517,1.127,-0.16
row1_target_026,-42.647,1.143,-0.117
row1_target_023,-43.123,1.131,-0.146
row1_target_022,-43.678,0.992,-0.142
row1_target_024,-43.845,1.204,-0.153
row1_target_021,-44.412,1.106,-0.198
row1_target_020,-44.661,1.198,-0.149
row1_target_019,-44.777,1.153,-0.126
row1_target_017,-45.2,0.998,-0.182
row1_target_016,-45.65,1.162,-0.13
row1_target_018,-45.756,1.04,-0.171
row1_target_013,-46.064,1.026,-0.125
row1_target_014,-46.53,1.093,-0.148
row1_target_015,-46.653,0.994,-0.176
row1_target_010,-47.42,1.193,-0.152
row1_target_011,-47.731,1.105,-0.124
row1_target_012,-47.859,1.24,-0.165
row1_target_008,-48.171,1.076,-0.197
row1_target_007,-48.274,1.114,-0.153
row1_target_009,-48.749,1.198,-0.112
row1_target_004,-49.251,1.214,-0.129
row1_target_006,-49.524,1.055,-0.167
row1_target_005,-49.699,1.032,-0.118
row1_target_002,-50.157,1.069,-0.159
row1_target_003,-50.453,1.006,-0.145
row1_target_001,-50.572,1.121,-0.111
